Title,Price,Location
** RENOVATED 2 BED/PRIVATE BACKYARD** **PELHAM BAY PARK WEST**,"$3,100",Peham Bay
Beautiful 1 Bedroom Apartment in Brownsville!,"$1,795",brooklyn
"Bridgeport 2 bedrooms 2 full baths $2,100","$2,100",Bridgeport
No Brokers Fee & 2 Months Free NEW LIC 1 Bed LUXURY BUILDING,"$4,046",Long Island City
Gorgeous Renovated 1 Bed *  w/ Shared Backyard Access,"$2,495",Ridgewood
Beautiful 3 BdrS for rent in heart of  Wakefield BRONX PRIVAT HOUSE,"$2,600",Wakefield
2 bdr bayside Oakland gardens,"$2,600",queens
No Brokers Fee & 1 Month Free NEW LIC ALCOVE STUDIO,"$3,506",Long Island City
SPACIOUS 2 Bedroom  in FLUSHING! Near LIRR,"$2,995",Flushing
beautiful 1 Bdr for rent in KEW GARDENS queens FULL RENOVATD,"$2,250",Kew Gardens
**No Broker Fee** 3BR in Ridgewood! 54-38 Arnold Ave,"$2,750","Ridgewood, NY"
NO FEE! Large 4BR w/ Dishwasher in Bedstuy Right By A/C Trains,"$4,000",Bedstuy / Franklin Ave
NO FEE! Nice 1 Bedroom with Dishwasher Close to Park & Franklin Ave,"$2,599",Crown Heights / Franklin Ave / Prospect Park
Luxurious 2 Bed in Williamsburg 🔥NO FEE🥂 2 Free months,"$3,200",Williamsburg
Luxury Flex 2BD w/ NO FEE - FT Doorman Gym & Sun Deck,"$4,295",Midtown
No Fee & 1 Month Free LUXURY STUDIO in FLASTBUSH,"$2,538",Prospect Lefferts Gardens
BREATH TAKING WATER VIEWS+LUXURY HIGH RISE=TOP FLOOR=FREE GYM,"$3,500",Financial District
Brownstone near Barclays Center. Renovated Apartment Same Day/Approval,"$3,000",Barclays Center
<^^^^^CONDO FINISHES^^^^^TOP FLOOR^^^^^^HIGH CEILINGS^^^^^LARGE CLOSET,"$3,200",Battery Park
Сдаётся 2х спальная квартира по 8й программе,"$3,050",Brooklyn
Life just got Better! I'm excited to show this master piece !,"$3,200",Financial District
Doorman---Private terrace--Ne renovation--Massive space--rent stabiliz,"$1,986",Harlem
New Renovation--Full service bldg--High Ceilings--Tribeca light,"$3,138",Financial District
NO FEE HEAT HOT WATER GAS INCLUDED,"$3,920",Forest Hills
one-bedroom apartment,"$1,800",queens
**BEAUTIFUL 1BR GARDEN APT IN STUYVESANT HEIGHTS**,"$3,500",STUYVESANT HEIGHTS
AMAZING 3 bedroom duplex with a private backyard!!,"$6,000",East Williamsburg
Two bedroom with gated parking and laundry in unit,"$3,099",Brooklyn
NO FEE__2br + 2ba + 2 Balconies + Laundry__Sunset Park Slope Greenwood,"$2,500",Sunset Park__________________________________________
Newly Renovated Studio Lenox Hill 70s - High Ceilings & Dishwasher,"$2,900",Upper East Side
89TH STREET AND 55TH AVE TWO BEDROOMS NEAR #7 M R TRAIN AND 30MIN TO N,"$2,295",ELMHURST
PATIO WITH GARDEN.  UNFURNISHED / FURNISHED.  NEAR ALL.,"$2,900",Ozone Park / Jamaica / Richmond Hill / Queens
55TH STREET AND WOODSIDE AVE LARGE L SHAPE STUDIO NEAR #7 TRAIN,"$1,695",WOODSIDE
Elegant Renovated Boutique 1BD w/ WD in unit & NO FEE!!!,"$3,400",Midtown East
Lenox Hill 70s Massive 4BD Duplex w/ Private Outdoor Patio,"$7,500",Upper East Side
Gorgeous Central Park West Prewar 1BD w/ Large Private Terrace,"$3,800",Upper West Side
Bushwick / ridgewood border - 4 bed/2 bath no fee,"$3,483",Bushwick / ridgewood - M or L
"Beautiful, bright, new, airy 1 bedroom with great views and amenitie","$3,800",Midtown West
"Spacious 3 bed/ 2 bath, steps from the beach (recently renovated)","$3,500",Arverne
Murray Hill Doorman Alcove Studio-Best deal -WOW,"$2,750","Chappaqua, NY"
Huge Corner 2 bed 2 bath with Balcony W/D  Prime UWS,"$5,188",Upper West Side
Large & Renovated 2BR w New Kitchen Overlooking the Park By B/Q Trains,"$2,995",Prospect Park South / Flatbush / Ditmas Park
"STUDIO, ROOMS N APTS","$1,800",Bronx
"STUDIO, ROOMS N APTS","$1,400",Bronx
3 Bed 2 Bath w/ Laundry in Unit *Astoria* Near N & W,"$3,800",Astoria
Renovated 2 Bedroom right across the street from Prospect Park!,"$2,995",Prospect Park South/ProspectPark
"Apts, Rooms & MORE!!","$1,500",Harlem / Morningside
Great deal in the building! Amazing studio luxury building,"$3,233",Midtown West
"STUDIO, APTS and More!!","$1,500","BX, Harlem, Mount Vernon, BK"
"ASTORIA-APT., PRIVATE HOUSE","$3,750",ASTORIA-QUEENS
BEST DEAL ON THE MARKET!2MO FREE!XL 1 BDRM!EXCELLENT LOCATION!!!,"$2,326",BROOKLYN
Beautiful Large 2 Bedroom 1 Bath across the street from Prospect Park!,"$3,495",Prospect Park South/ProspectPark
"Gorgeous 5 Bedroom, 2 Full Bath with Laundry and Dishwasher in Unit","$4,999",Bushwick
JACKSON HEIGHTS- ELEV.-BLDG.-,"$3,800",JACKSON HEIGHTS-QUEENS
Spacious 2 Bedroom Apartment in Coveted Crown Heights Location,"$3,500",Brooklyn
🌟Huge Prospect Heights Studio!,"$2,650",Prospect Heights
